Ticker;Position;Entry Date;Avg. Price;Exit Date;Exit Price;PnL %;Portfolio Exposure;Source;Position High;Position Low;Drawdown;Run Up
DJT;LONG;23.10.2024;$35.47;28.10.2024;$47.00;32.51%;7.10%;Alen;$47.68;$33.09;-6.71%;34.42%
PLBY;LONG;31.05.2024;$0.90;31.10.2024;$1.21;34.44%;4.83%;Alen;$1.46;$0.52;-42.22%;62.22%
AMZN;LONG;16.05.2024;$183.63;01.11.2024;$206.77;12.60%;22.83%;Alen;$201.20;$151.61;-17.44%;9.57%
DAL;LONG;21.05.2024;$52.33;06.11.2024;$61.25;17.05%;5.24%;Alen;$62.66;$37.29;-28.74%;19.74%
COST;LONG;27.09.2024;$889.40;08.11.2024;$883.02;-0.72%;17.79%;Alen;$962.00;$867.16;-2.50%;8.16%
COST;LONG;08.11.2024;$883.00;08.11.2024;$950.00;7.59%;8.84%;Alen;$962.00;$913.75;3.48%;8.95%
CHTR;LONG;29.11.2024;$391.54;29.11.2024;$390.94;-0.15%;19.56%;Alen;$397.27;$389.96;-0.40%;1.46%
SOUN;SHORT;05.12.2024;$12.86;05.12.2024;$13.22;-2.80%;3.84%;Alen;$13.74;$10.32;-6.84%;19.75%
GOOGL;LONG;30.09.2024;$180.78;11.12.2024;$192.96;6.74%;9.05%;Alen;$195.61;$159.74;-11.64%;8.20%
DKS;SHORT;10.01.2025;$230.24;13.01.2025;$228.60;0.71%;7.08%;Alen;$235.00;$219.68;-2.07%;4.59%
RGTI;SHORT;15.01.2025;$10.51;15.01.2025;$9.80;6.76%;12.37%;Alen;$11.56;$9.73;-9.99%;7.42%
COIN;LONG;12.12.2024;$260.00;16.01.2025;$300.00;15.38%;20.00%;Alen;$326.23;$240.77;-7.40%;25.47%
GOOGL;LONG;03.01.2025;$192.00;21.01.2025;$196.64;2.42%;23.63%;Alen;$202.29;$187.36;-2.42%;5.36%
V;LONG;03.01.2025;$312.82;21.01.2025;$322.74;3.17%;19.25%;Alen;$324.58;$303.84;-2.87%;3.76%
CVNA;SHORT;20.01.2025;$268.48;21.01.2025;$237.76;11.44%;4.13%;Alen;$236.09;$228.38;12.06%;14.94%
AMZN;LONG;06.01.2025;$224.66;22.01.2025;$230.95;2.80%;17.28%;Alen;$235.44;$216.20;-3.77%;4.80%
ARM;SHORT;22.01.2025;$180.00;23.01.2025;$170.00;5.56%;2.77%;Alen;$182.88;$159.95;-1.60%;11.14%
ANET;LONG;22.01.2025;$113.15;27.01.2025;$128.82;13.85%;2.61%;Alen;$133.57;$97.68;-13.67%;18.05%
DHR;LONG;03.01.2025;$229.93;28.01.2025;$248.00;7.86%;7.07%;Alen;$258.23;$229.56;-0.16%;12.31%
AAPL;LONG;22.01.2025;$219.82;28.01.2025;$239.62;9.01%;9.13%;Alen;$240.19;$219.79;-0.01%;9.27%
